CustomerKey,CustomerName,Segment,Industry,RegionKey,RegionName,Country,City,CustomerSince,Status
128,Customer 0128,Small Business,Retail,10,India South,India,Bengaluru,2017-09-04,Active
129,Customer 0129,Mid-Market,Hospitality,4,Saudi West,Saudi Arabia,Jeddah,2018-10-05,Active
130,Customer 0130,Mid-Market,Construction,9,India West,India,Mumbai,2019-11-06,Active
131,Customer 0131,Enterprise,Government,8,Oman,Oman,Muscat,2020-12-07,Active
132,Customer 0132,Small Business,Financial Services,10,India South,India,Bengaluru,2021-01-08,Active
133,Customer 0133,Mid-Market,Government,6,Kuwait,Kuwait,Kuwait City,2022-02-09,Active
134,Customer 0134,Consumer,Hospitality,5,Qatar,Qatar,Doha,2023-03-10,Active
135,Customer 0135,Enterprise,Technology,6,Kuwait,Kuwait,Kuwait City,2024-04-11,Active
136,Customer 0136,Small Business,Healthcare,3,Saudi Central,Saudi Arabia,Riyadh,2017-05-12,Dormant
137,Customer 0137,Small Business,Financial Services,7,Bahrain,Bahrain,Manama,2018-06-13,Dormant
138,Customer 0138,Small Business,Healthcare,3,Saudi Central,Saudi Arabia,Riyadh,2019-07-14,Active
139,Customer 0139,Mid-Market,Healthcare,8,Oman,Oman,Muscat,2020-08-15,Active
140,Customer 0140,Small Business,Construction,8,Oman,Oman,Muscat,2021-09-16,Active
141,Customer 0141,Mid-Market,Financial Services,8,Oman,Oman,Muscat,2022-10-17,Dormant
142,Customer 0142,Small Business,Financial Services,7,Bahrain,Bahrain,Manama,2023-11-18,Dormant
143,Customer 0143,Mid-Market,Retail,8,Oman,Oman,Muscat,2024-12-19,Active
144,Customer 0144,Enterprise,Education,5,Qatar,Qatar,Doha,2017-01-20,Active
145,Customer 0145,Consumer,Government,3,Saudi Central,Saudi Arabia,Riyadh,2018-02-21,Active
146,Customer 0146,Enterprise,Construction,10,India South,India,Bengaluru,2019-03-22,Active
147,Customer 0147,Small Business,Financial Services,8,Oman,Oman,Muscat,2020-04-23,Active
148,Customer 0148,Mid-Market,Retail,4,Saudi West,Saudi Arabia,Jeddah,2021-05-24,Dormant
149,Customer 0149,Mid-Market,Hospitality,5,Qatar,Qatar,Doha,2022-06-25,Dormant
150,Customer 0150,Consumer,Education,2,UAE South,UAE,Abu Dhabi,2023-07-01,Active
151,Customer 0151,Small Business,Financial Services,10,India South,India,Bengaluru,2024-08-02,Active
152,Customer 0152,Mid-Market,Education,10,India South,India,Bengaluru,2017-09-03,Active
153,Customer 0153,Small Business,Technology,1,UAE North,UAE,Dubai,2018-10-04,Active
154,Customer 0154,Consumer,Technology,6,Kuwait,Kuwait,Kuwait City,2019-11-05,Active
155,Customer 0155,Mid-Market,Hospitality,10,India South,India,Bengaluru,2020-12-06,Active
156,Customer 0156,Consumer,Technology,7,Bahrain,Bahrain,Manama,2021-01-07,Active
157,Customer 0157,Mid-Market,Construction,3,Saudi Central,Saudi Arabia,Riyadh,2022-02-08,Active
158,Customer 0158,Small Business,Technology,7,Bahrain,Bahrain,Manama,2023-03-09,Dormant
159,Customer 0159,Small Business,Hospitality,7,Bahrain,Bahrain,Manama,2024-04-10,Dormant
160,Customer 0160,Consumer,Construction,9,India West,India,Mumbai,2017-05-11,Dormant
161,Customer 0161,Mid-Market,Retail,8,Oman,Oman,Muscat,2018-06-12,Active
162,Customer 0162,Small Business,Construction,8,Oman,Oman,Muscat,2019-07-13,Active
163,Customer 0163,Small Business,Financial Services,9,India West,India,Mumbai,2020-08-14,Active
164,Customer 0164,Mid-Market,Technology,8,Oman,Oman,Muscat,2021-09-15,Active
165,Customer 0165,Small Business,Government,9,India West,India,Mumbai,2022-10-16,Active
166,Customer 0166,Enterprise,Government,1,UAE North,UAE,Dubai,2023-11-17,Active
167,Customer 0167,Consumer,Healthcare,2,UAE South,UAE,Abu Dhabi,2024-12-18,Dormant
168,Customer 0168,Enterprise,Financial Services,8,Oman,Oman,Muscat,2017-01-19,Active
169,Customer 0169,Consumer,Technology,3,Saudi Central,Saudi Arabia,Riyadh,2018-02-20,Active
170,Customer 0170,Enterprise,Construction,5,Qatar,Qatar,Doha,2019-03-21,Active
171,Customer 0171,Small Business,Healthcare,2,UAE South,UAE,Abu Dhabi,2020-04-22,Active
172,Customer 0172,Small Business,Education,7,Bahrain,Bahrain,Manama,2021-05-23,Dormant
173,Customer 0173,Consumer,Retail,2,UAE South,UAE,Abu Dhabi,2022-06-24,Active
174,Customer 0174,Enterprise,Education,8,Oman,Oman,Muscat,2023-07-25,Dormant
175,Customer 0175,Enterprise,Construction,1,UAE North,UAE,Dubai,2024-08-01,Active
176,Customer 0176,Small Business,Government,7,Bahrain,Bahrain,Manama,2017-09-02,Active
177,Customer 0177,Small Business,Hospitality,4,Saudi West,Saudi Arabia,Jeddah,2018-10-03,Active
178,Customer 0178,Mid-Market,Technology,6,Kuwait,Kuwait,Kuwait City,2019-11-04,Active
179,Customer 0179,Consumer,Healthcare,7,Bahrain,Bahrain,Manama,2020-12-05,Active
180,Customer 0180,Small Business,Retail,2,UAE South,UAE,Abu Dhabi,2021-01-06,Active
181,Customer 0181,Mid-Market,Education,8,Oman,Oman,Muscat,2022-02-07,Active
182,Customer 0182,Small Business,Government,7,Bahrain,Bahrain,Manama,2023-03-08,Active
183,Customer 0183,Consumer,Healthcare,2,UAE South,UAE,Abu Dhabi,2024-04-09,Active
184,Customer 0184,Consumer,Construction,10,India South,India,Bengaluru,2017-05-10,Dormant
185,Customer 0185,Consumer,Education,6,Kuwait,Kuwait,Kuwait City,2018-06-11,Active
186,Customer 0186,Mid-Market,Technology,2,UAE South,UAE,Abu Dhabi,2019-07-12,Active
187,Customer 0187,Mid-Market,Education,5,Qatar,Qatar,Doha,2020-08-13,Dormant
188,Customer 0188,Small Business,Education,5,Qatar,Qatar,Doha,2021-09-14,Dormant
189,Customer 0189,Enterprise,Government,7,Bahrain,Bahrain,Manama,2022-10-15,Active
190,Customer 0190,Consumer,Retail,9,India West,India,Mumbai,2023-11-16,Active
191,Customer 0191,Mid-Market,Financial Services,6,Kuwait,Kuwait,Kuwait City,2024-12-17,Active
192,Customer 0192,Small Business,Government,9,India West,India,Mumbai,2017-01-18,Active
193,Customer 0193,Small Business,Retail,1,UAE North,UAE,Dubai,2018-02-19,Active
194,Customer 0194,Enterprise,Retail,4,Saudi West,Saudi Arabia,Jeddah,2019-03-20,Dormant
195,Customer 0195,Mid-Market,Financial Services,9,India West,India,Mumbai,2020-04-21,Dormant
196,Customer 0196,Enterprise,Healthcare,7,Bahrain,Bahrain,Manama,2021-05-22,Active
197,Customer 0197,Mid-Market,Education,2,UAE South,UAE,Abu Dhabi,2022-06-23,Active
198,Customer 0198,Mid-Market,Hospitality,9,India West,India,Mumbai,2023-07-24,Active
199,Customer 0199,Consumer,Education,7,Bahrain,Bahrain,Manama,2024-08-25,Active
200,Customer 0200,Enterprise,Financial Services,4,Saudi West,Saudi Arabia,Jeddah,2017-09-01,Active
201,Customer 0201,Small Business,Retail,8,Oman,Oman,Muscat,2018-10-02,Active
202,Customer 0202,Enterprise,Healthcare,3,Saudi Central,Saudi Arabia,Riyadh,2019-11-03,Active
203,Customer 0203,Small Business,Construction,3,Saudi Central,Saudi Arabia,Riyadh,2020-12-04,Active
204,Customer 0204,Small Business,Technology,3,Saudi Central,Saudi Arabia,Riyadh,2021-01-05,Active
205,Customer 0205,Mid-Market,Financial Services,1,UAE North,UAE,Dubai,2022-02-06,Active
206,Customer 0206,Enterprise,Hospitality,9,India West,India,Mumbai,2023-03-07,Dormant
207,Customer 0207,Small Business,Retail,8,Oman,Oman,Muscat,2024-04-08,Dormant
208,Customer 0208,Mid-Market,Healthcare,10,India South,India,Bengaluru,2017-05-09,Active
209,Customer 0209,Consumer,Hospitality,2,UAE South,UAE,Abu Dhabi,2018-06-10,Active
210,Customer 0210,Enterprise,Retail,9,India West,India,Mumbai,2019-07-11,Active
211,Customer 0211,Small Business,Financial Services,1,UAE North,UAE,Dubai,2020-08-12,Active
212,Customer 0212,Consumer,Retail,3,Saudi Central,Saudi Arabia,Riyadh,2021-09-13,Dormant
213,Customer 0213,Mid-Market,Financial Services,4,Saudi West,Saudi Arabia,Jeddah,2022-10-14,Active
214,Customer 0214,Consumer,Construction,5,Qatar,Qatar,Doha,2023-11-15,Active
215,Customer 0215,Small Business,Retail,9,India West,India,Mumbai,2024-12-16,Active
216,Customer 0216,Consumer,Retail,4,Saudi West,Saudi Arabia,Jeddah,2017-01-17,Dormant
217,Customer 0217,Consumer,Technology,2,UAE South,UAE,Abu Dhabi,2018-02-18,Active
218,Customer 0218,Enterprise,Government,6,Kuwait,Kuwait,Kuwait City,2019-03-19,Active
219,Customer 0219,Mid-Market,Technology,6,Kuwait,Kuwait,Kuwait City,2020-04-20,Active
220,Customer 0220,Mid-Market,Government,8,Oman,Oman,Muscat,2021-05-21,Active
221,Customer 0221,Consumer,Education,9,India West,India,Mumbai,2022-06-22,Active
222,Customer 0222,Consumer,Retail,1,UAE North,UAE,Dubai,2023-07-23,Active
223,Customer 0223,Mid-Market,Retail,9,India West,India,Mumbai,2024-08-24,Active
224,Customer 0224,Consumer,Financial Services,1,UAE North,UAE,Dubai,2017-09-25,Active
225,Customer 0225,Mid-Market,Education,2,UAE South,UAE,Abu Dhabi,2018-10-01,Dormant
226,Customer 0226,Consumer,Healthcare,8,Oman,Oman,Muscat,2019-11-02,Active
227,Customer 0227,Enterprise,Education,2,UAE South,UAE,Abu Dhabi,2020-12-03,Dormant
228,Customer 0228,Small Business,Hospitality,6,Kuwait,Kuwait,Kuwait City,2021-01-04,Active
229,Customer 0229,Mid-Market,Financial Services,9,India West,India,Mumbai,2022-02-05,Active
230,Customer 0230,Small Business,Financial Services,10,India South,India,Bengaluru,2023-03-06,Active
231,Customer 0231,Mid-Market,Construction,4,Saudi West,Saudi Arabia,Jeddah,2024-04-07,Dormant
232,Customer 0232,Mid-Market,Technology,6,Kuwait,Kuwait,Kuwait City,2017-05-08,Active
233,Customer 0233,Consumer,Healthcare,2,UAE South,UAE,Abu Dhabi,2018-06-09,Active
234,Customer 0234,Enterprise,Government,3,Saudi Central,Saudi Arabia,Riyadh,2019-07-10,Dormant
235,Customer 0235,Small Business,Construction,6,Kuwait,Kuwait,Kuwait City,2020-08-11,Active
236,Customer 0236,Mid-Market,Technology,8,Oman,Oman,Muscat,2021-09-12,Active
237,Customer 0237,Mid-Market,Technology,2,UAE South,UAE,Abu Dhabi,2022-10-13,Active
238,Customer 0238,Consumer,Construction,4,Saudi West,Saudi Arabia,Jeddah,2023-11-14,Active
239,Customer 0239,Consumer,Construction,2,UAE South,UAE,Abu Dhabi,2024-12-15,Dormant
240,Customer 0240,Enterprise,Technology,9,India West,India,Mumbai,2017-01-16,Active
241,Customer 0241,Enterprise,Financial Services,3,Saudi Central,Saudi Arabia,Riyadh,2018-02-17,Dormant
242,Customer 0242,Consumer,Education,9,India West,India,Mumbai,2019-03-18,Active
243,Customer 0243,Enterprise,Healthcare,8,Oman,Oman,Muscat,2020-04-19,Active
244,Customer 0244,Enterprise,Education,1,UAE North,UAE,Dubai,2021-05-20,Active
245,Customer 0245,Consumer,Construction,4,Saudi West,Saudi Arabia,Jeddah,2022-06-21,Active
246,Customer 0246,Small Business,Hospitality,10,India South,India,Bengaluru,2023-07-22,Active
247,Customer 0247,Mid-Market,Government,2,UAE South,UAE,Abu Dhabi,2024-08-23,Active
248,Customer 0248,Consumer,Construction,2,UAE South,UAE,Abu Dhabi,2017-09-24,Active
249,Customer 0249,Consumer,Retail,1,UAE North,UAE,Dubai,2018-10-25,Active
250,Customer 0250,Small Business,Financial Services,10,India South,India,Bengaluru,2019-11-01,Dormant
251,Customer 0251,Small Business,Financial Services,1,UAE North,UAE,Dubai,2020-12-02,Active
252,Customer 0252,Mid-Market,Healthcare,6,Kuwait,Kuwait,Kuwait City,2021-01-03,Active
253,Customer 0253,Small Business,Healthcare,5,Qatar,Qatar,Doha,2022-02-04,Active
254,Customer 0254,Small Business,Education,10,India South,India,Bengaluru,2023-03-05,Active
255,Customer 0255,Small Business,Government,8,Oman,Oman,Muscat,2024-04-06,Active
256,Customer 0256,Mid-Market,Healthcare,2,UAE South,UAE,Abu Dhabi,2017-05-07,Dormant
257,Customer 0257,Small Business,Education,4,Saudi West,Saudi Arabia,Jeddah,2018-06-08,Active
258,Customer 0258,Consumer,Construction,7,Bahrain,Bahrain,Manama,2019-07-09,Dormant
259,Customer 0259,Consumer,Construction,9,India West,India,Mumbai,2020-08-10,Active
260,Customer 0260,Mid-Market,Retail,7,Bahrain,Bahrain,Manama,2021-09-11,Active
261,Customer 0261,Mid-Market,Technology,10,India South,India,Bengaluru,2022-10-12,Active
262,Customer 0262,Small Business,Education,8,Oman,Oman,Muscat,2023-11-13,Active
263,Customer 0263,Mid-Market,Education,2,UAE South,UAE,Abu Dhabi,2024-12-14,Active
264,Customer 0264,Consumer,Retail,9,India West,India,Mumbai,2017-01-15,Active
265,Customer 0265,Consumer,Financial Services,10,India South,India,Bengaluru,2018-02-16,Active
266,Customer 0266,Mid-Market,Construction,3,Saudi Central,Saudi Arabia,Riyadh,2019-03-17,Active
267,Customer 0267,Enterprise,Construction,10,India South,India,Bengaluru,2020-04-18,Active
268,Customer 0268,Consumer,Government,10,India South,India,Bengaluru,2021-05-19,Active
269,Customer 0269,Small Business,Hospitality,3,Saudi Central,Saudi Arabia,Riyadh,2022-06-20,Active
270,Customer 0270,Small Business,Retail,4,Saudi West,Saudi Arabia,Jeddah,2023-07-21,Dormant
271,Customer 0271,Mid-Market,Education,1,UAE North,UAE,Dubai,2024-08-22,Active
272,Customer 0272,Consumer,Construction,6,Kuwait,Kuwait,Kuwait City,2017-09-23,Active
273,Customer 0273,Mid-Market,Healthcare,1,UAE North,UAE,Dubai,2018-10-24,Active
274,Customer 0274,Consumer,Hospitality,9,India West,India,Mumbai,2019-11-25,Active
275,Customer 0275,Small Business,Construction,7,Bahrain,Bahrain,Manama,2020-12-01,Active
276,Customer 0276,Mid-Market,Healthcare,6,Kuwait,Kuwait,Kuwait City,2021-01-02,Dormant
277,Customer 0277,Small Business,Healthcare,8,Oman,Oman,Muscat,2022-02-03,Active
278,Customer 0278,Small Business,Healthcare,4,Saudi West,Saudi Arabia,Jeddah,2023-03-04,Dormant
279,Customer 0279,Consumer,Technology,5,Qatar,Qatar,Doha,2024-04-05,Active
280,Customer 0280,Consumer,Financial Services,3,Saudi Central,Saudi Arabia,Riyadh,2017-05-06,Active
281,Customer 0281,Small Business,Education,3,Saudi Central,Saudi Arabia,Riyadh,2018-06-07,Active
282,Customer 0282,Mid-Market,Hospitality,8,Oman,Oman,Muscat,2019-07-08,Active
283,Customer 0283,Consumer,Healthcare,6,Kuwait,Kuwait,Kuwait City,2020-08-09,Active
284,Customer 0284,Small Business,Technology,6,Kuwait,Kuwait,Kuwait City,2021-09-10,Active
285,Customer 0285,Small Business,Construction,4,Saudi West,Saudi Arabia,Jeddah,2022-10-11,Active
286,Customer 0286,Consumer,Retail,2,UAE South,UAE,Abu Dhabi,2023-11-12,Dormant
287,Customer 0287,Consumer,Healthcare,8,Oman,Oman,Muscat,2024-12-13,Dormant
288,Customer 0288,Consumer,Construction,8,Oman,Oman,Muscat,2017-01-14,Dormant
289,Customer 0289,Consumer,Education,2,UAE South,UAE,Abu Dhabi,2018-02-15,Active
290,Customer 0290,Enterprise,Retail,8,Oman,Oman,Muscat,2019-03-16,Active
291,Customer 0291,Mid-Market,Hospitality,1,UAE North,UAE,Dubai,2020-04-17,Active
292,Customer 0292,Mid-Market,Financial Services,6,Kuwait,Kuwait,Kuwait City,2021-05-18,Active
